Combination,Accuracy,Precision,Recall,F1 Score,Next_Day_Prediction
RSI_14 Bullish_Momentum Bearish_Crossover,0.5526315789473685,0.5458333333333334,0.5491071428571428,0.5411931818181819,0
RSI_14 Bullish_Momentum High_Volatility,0.5526315789473685,0.5326704545454546,0.5342261904761905,0.5318840579710145,0
RSI_14 Bullish_Momentum Volume_Pressure,0.5657894736842105,0.5493305144467935,0.5520833333333333,0.5481895154026302,0
RSI_14 Bearish_Momentum Bearish_Crossover,0.5526315789473685,0.5458333333333334,0.5491071428571428,0.5411931818181819,0
RSI_14 Bearish_Momentum High_Volatility,0.5526315789473685,0.5326704545454546,0.5342261904761905,0.5318840579710145,0
RSI_14 Bearish_Momentum Volume_Pressure,0.5657894736842105,0.5493305144467935,0.5520833333333333,0.5481895154026302,0
RSI_14 Bearish_Crossover High_Volatility,0.5263157894736842,0.5126050420168067,0.5133928571428572,0.5096774193548388,0
RSI_14 Bearish_Crossover Volume_Pressure,0.5394736842105263,0.5292682926829269,0.53125,0.5255930087390761,0
RSI_14 High_Volatility Volume_Pressure,0.5394736842105263,0.5157706093189964,0.5163690476190476,0.5152177874977218,0
SMA_10 SMA_30 Bullish_Momentum,0.47368421052631576,0.4666666666666667,0.4642857142857143,0.4602272727272727,0
SMA_10 SMA_30 Bearish_Momentum,0.5131578947368421,0.4885304659498208,0.48809523809523814,0.48751594678330595,0
SMA_10 SMA_30 Bearish_Crossover,0.4605263157894737,0.4498257839721254,0.4464285714285714,0.44426609595148925,0
SMA_10 SMA_30 High_Volatility,0.5,0.4859943977591037,0.48511904761904756,0.4824372759856631,0
SMA_10 SMA_30 Volume_Pressure,0.5263157894736842,0.5056818181818181,0.5059523809523809,0.5043478260869565,0
SMA_10 Bullish_Momentum Bearish_Momentum,0.5657894736842105,0.5845665961945032,0.5892857142857143,0.5639019300991132,0
SMA_10 Bullish_Momentum Bearish_Crossover,0.5657894736842105,0.5766550522648084,0.5818452380952381,0.5620743844944998,0
SMA_10 Bullish_Momentum High_Volatility,0.5921052631578947,0.5956340956340956,0.6026785714285714,0.58630377524144,0
SMA_10 Bullish_Momentum Volume_Pressure,0.5394736842105263,0.542966042966043,0.5461309523809523,0.5329236172080773,0
SMA_10 Bearish_Momentum Bearish_Crossover,0.6052631578947368,0.5986111111111111,0.6056547619047619,0.5951704545454546,0
SMA_10 Bearish_Momentum High_Volatility,0.5921052631578947,0.5822299651567944,0.5877976190476191,0.5798109505974673,0
SMA_10 Bearish_Momentum Volume_Pressure,0.5789473684210527,0.5658263305322129,0.5699404761904762,0.5641577060931899,0
SMA_10 Bearish_Crossover High_Volatility,0.6052631578947368,0.592436974789916,0.5982142857142857,0.5913978494623656,0
SMA_10 Bearish_Crossover Volume_Pressure,0.5789473684210527,0.5596590909090908,0.5625,0.5594202898550724,0
SMA_10 High_Volatility Volume_Pressure,0.5921052631578947,0.5702508960573477,0.5729166666666667,0.5706214689265536,0
SMA_30 Bullish_Momentum Bearish_Momentum,0.42105263157894735,0.4138888888888889,0.40773809523809523,0.40625,0
SMA_30 Bullish_Momentum Bearish_Crossover,0.4473684210526316,0.44027777777777777,0.43601190476190477,0.43323863636363635,0
SMA_30 Bullish_Momentum High_Volatility,0.42105263157894735,0.4061624649859944,0.40029761904761907,0.40071684587813616,0
